m,
X,Y
2.0956749672346007,0.1698501902642351
5.815203145478375,0.17048129112829624
9.534731323722148,0.171842591339205
13.254259501965926,0.17386107096227657
16.973787680209696,0.17634896445117876
20.693315858453474,0.17940015457907765
24.412844036697244,0.18339017243863776
28.13237221494102,0.18817819387010987
31.851900393184792,0.19362339471374485
35.57142857142857,0.20005436467562407
39.29095674967235,0.2075649865289137
43.01048492791612,0.21587361195411534
46.730013106159895,0.22544965481705956
50.44954128440367,0.23629311511774645
53.99999999999999,0.24741822373793168
57.381389252948885,0.2592943945434459
60.59370904325032,0.27151480218390256
63.46788990825687,0.2833694581872328
66.00393184796854,0.2944803167436339
68.74661424202708,0.3053073848140854
